IDX,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Resource,DevType,Duration,N_effort-,EffortX
1.0,1587.0,774.0,260.0,340.0,128.0,0.0,1502.0,0.0,0.0,4.7,5.0,4.7,5.0,4.0,0.0,4.0,7490.0,7490.0
2.0,260.0,9.0,4.0,3.0,193.0,41.0,51.0,138.0,61.0,16.0,16.6,16.0,16.6,2.0,0.0,17.0,4150.0,4150.0
3.0,152.0,25.0,33.0,28.0,42.0,35.0,163.0,0.0,0.0,4.4,4.1,4.4,4.1,1.0,0.0,9.0,668.0,668.0
4.0,252.0,151.0,28.0,8.0,39.0,0.0,69.0,153.0,4.0,12.8,14.3,15.5,17.3,1.0,0.0,4.0,3901.0,3238.0
5.0,292.0,93.0,0.0,194.0,20.0,0.0,0.0,307.0,0.0,10.3,9.8,12.4,11.7,1.0,0.0,13.0,3607.0,2994.0
6.0,83.0,63.0,0.0,24.0,0.0,0.0,0.0,87.0,0.0,16.1,15.3,19.3,18.5,1.0,0.0,4.0,1606.0,1333.0
7.0,79.0,24.0,0.0,23.0,30.0,0.0,0.0,77.0,0.0,20.3,20.9,24.5,25.1,1.0,0.0,6.0,1936.0,1607.0
8.0,97.0,0.0,108.0,7.0,0.0,5.0,120.0,0.0,0.0,11.9,9.7,11.9,9.7,2.0,0.0,7.0,1158.0,1158.0
9.0,116.0,0.0,23.0,58.0,14.0,20.0,81.0,34.0,0.0,10.7,10.8,12.9,13.0,1.0,0.0,6.0,1498.0,1243.0
10.0,52.0,39.0,7.0,0.0,0.0,0.0,0.0,46.0,0.0,64.8,73.3,78.1,88.3,1.0,0.0,7.0,4063.0,3372.0
11.0,465.0,209.0,129.0,24.0,83.0,15.0,460.0,0.0,0.0,21.9,22.2,21.9,22.2,1.0,0.0,9.0,10200.0,10200.0
12.0,67.0,32.0,5.0,16.0,7.0,0.0,25.0,35.0,0.0,25.4,28.4,30.6,34.2,1.0,0.0,7.0,2053.0,1704.0
13.0,199.0,0.0,115.0,57.0,0.0,42.0,214.0,0.0,0.0,13.3,12.3,15.2,14.2,2.0,0.0,7.0,3034.0,2640.0
14.0,176.0,13.0,54.0,54.0,40.0,7.0,168.0,0.0,0.0,19.0,19.9,19.0,19.9,1.0,0.0,26.0,3348.0,3348.0
15.0,391.0,208.0,26.0,81.0,25.0,0.0,38.0,302.0,0.0,1.7,2.0,2.1,2.4,1.0,0.0,7.0,814.0,676.0
16.0,263.0,65.0,45.0,101.0,42.0,10.0,176.0,87.0,0.0,3.5,3.5,3.5,3.5,1.0,0.0,3.0,911.0,911.0
17.0,42.0,12.0,15.0,3.0,7.0,15.0,52.0,0.0,0.0,59.4,48.0,59.4,48.0,1.0,0.0,6.0,2496.0,2496.0
18.0,190.0,98.0,20.0,16.0,63.0,5.0,160.0,42.0,0.0,6.2,5.8,6.2,5.8,1.0,0.0,10.0,1171.0,1171.0
19.0,245.0,105.0,28.0,18.0,58.0,0.0,19.0,190.0,0.0,14.4,16.9,14.4,16.9,1.0,0.0,13.0,3532.0,3532.0
20.0,77.0,28.0,0.0,42.0,0.0,0.0,0.0,70.0,0.0,5.7,6.2,6.8,7.5,1.0,0.0,1.0,525.0,436.0
21.0,355.0,278.0,0.0,73.0,0.0,0.0,0.0,351.0,0.0,2.6,2.6,3.1,3.1,1.0,0.0,4.0,1095.0,909.0
22.0,3156.0,2075.0,525.0,97.0,0.0,0.0,28.0,12.0,2657.0,2.9,3.4,3.5,4.1,1.0,0.0,6.0,10957.0,9094.0
23.0,46.0,0.0,28.0,0.0,25.0,0.0,28.0,25.0,0.0,7.5,6.5,7.5,6.5,1.0,0.0,6.0,344.0,344.0
24.0,56.0,14.0,12.0,15.0,7.0,5.0,53.0,0.0,0.0,5.3,5.6,5.3,5.6,4.0,0.0,3.0,296.0,296.0
25.0,106.0,65.0,4.0,12.0,14.0,0.0,35.0,53.0,7.0,33.0,36.9,39.8,44.4,1.0,0.0,13.0,4220.0,3503.0
26.0,71.0,31.0,28.0,9.0,7.0,0.0,31.0,23.0,21.0,3.5,3.3,4.2,3.9,1.0,0.0,1.0,296.0,246.0
27.0,306.0,51.0,105.0,0.0,105.0,45.0,306.0,0.0,0.0,6.8,6.8,6.8,6.8,2.0,0.0,24.0,2082.0,2082.0
28.0,244.0,68.0,78.0,22.0,62.0,14.0,244.0,0.0,0.0,0.8,0.8,0.8,0.8,4.0,0.0,7.0,191.0,191.0
29.0,98.0,21.0,46.0,3.0,44.0,0.0,114.0,0.0,0.0,30.3,26.1,36.6,31.4,1.0,0.0,15.0,3583.0,2974.0
30.0,331.0,100.0,44.0,61.0,107.0,0.0,312.0,0.0,0.0,1.0,1.1,1.2,1.3,1.0,0.0,2.0,395.0,328.0
31.0,101.0,16.0,5.0,39.0,52.0,0.0,112.0,0.0,0.0,4.0,3.6,4.0,3.6,1.0,0.0,8.0,406.0,406.0
32.0,192.0,9.0,102.0,0.0,10.0,77.0,198.0,0.0,0.0,9.3,9.0,11.2,10.9,1.0,0.0,8.0,2151.0,1785.0
33.0,60.0,39.0,4.0,0.0,14.0,10.0,39.0,22.0,6.0,7.9,7.0,7.9,7.0,2.0,0.0,8.0,471.0,471.0
34.0,180.0,74.0,18.0,33.0,57.0,0.0,153.0,29.0,0.0,3.9,3.8,3.9,3.8,2.0,0.0,5.0,700.0,700.0
35.0,118.0,43.0,71.0,7.0,0.0,0.0,38.0,83.0,0.0,4.9,4.8,5.9,5.8,1.0,0.0,2.0,698.0,579.0
36.0,73.0,43.0,10.0,4.0,15.0,0.0,6.0,66.0,0.0,16.6,16.8,20.0,20.3,1.0,0.0,3.0,1459.0,1211.0
37.0,143.0,63.0,0.0,27.0,45.0,0.0,14.0,121.0,0.0,8.0,8.4,9.82348263788935,10.2,1.0,0.0,4.0,1372.0,1139.0
38.0,2190.0,706.0,648.0,236.0,235.0,0.0,1825.0,0.0,0.0,6.6,8.0,7.6,9.1,2.0,0.0,19.0,16690.0,14520.0
39.0,9.0,0.0,10.0,0.0,0.0,0.0,5.0,5.0,0.0,26.6,23.9,26.6,23.9,1.0,0.0,2.0,239.0,239.0
40.0,203.0,21.0,167.0,3.0,10.0,0.0,201.0,0.0,0.0,6.2,6.3,7.5,7.6,1.0,0.0,5.0,1520.0,1262.0
41.0,162.0,64.0,36.0,9.0,28.0,20.0,157.0,0.0,0.0,10.8,11.092383765849336,10.8,11.2,1.0,0.0,8.0,1754.0,1754.0
42.0,183.0,60.0,21.0,29.0,71.0,0.0,181.0,0.0,0.0,8.3,8.4,10.0,10.1,1.0,0.0,6.0,1824.0,1514.0
43.0,59.0,36.0,21.0,0.0,0.0,0.0,6.0,51.0,0.0,11.3,11.7,13.6,14.1,1.0,0.0,8.0,804.0,667.0
44.0,412.0,198.0,14.0,99.0,91.0,10.0,412.0,0.0,0.0,14.2,14.2,14.2,14.2,2.0,0.0,20.0,5864.0,5864.0
45.0,348.0,198.0,14.0,33.0,77.0,0.0,10.0,312.0,0.0,2.8,3.0,3.4,3.6,1.0,0.0,3.0,1172.0,973.0
46.0,2529.0,554.0,513.0,66.0,703.0,220.0,2056.0,0.0,0.0,10.895467441029192,10.412832966766658,2.1,2.6,2.0,0.0,13.0,5333.0,5333.0
47.0,250.0,28.0,92.0,57.0,0.0,30.0,164.0,43.0,0.0,7.1,8.6,7.1,8.6,2.0,0.0,8.0,1775.0,1775.0
48.0,206.0,0.0,199.0,0.0,0.0,5.0,100.0,104.0,0.0,1.0,1.0,1.2,1.2,1.0,0.0,5.0,246.0,204.0
49.0,617.0,184.0,136.0,103.0,133.0,0.0,377.0,179.0,0.0,5.1,5.7,6.1,6.8,1.0,0.0,7.0,3793.0,3148.0
50.0,173.0,0.0,78.0,10.0,17.0,72.0,177.0,0.0,0.0,50.4,49.2,60.7,59.3,1.0,0.0,12.0,10501.0,8716.0
51.0,286.0,45.0,156.0,27.0,37.0,0.0,265.0,0.0,0.0,5.1,5.5,5.1,5.5,1.0,0.0,6.0,1464.0,1464.0
52.0,52.0,13.0,17.0,6.0,10.0,5.0,20.0,16.0,15.0,26.1,26.6,31.5,32.1,1.0,0.0,2.0,1636.0,1358.0
53.0,45.0,6.0,28.0,0.0,0.0,25.0,59.0,0.0,0.0,6.2,4.8,6.2,4.8,2.0,0.0,7.0,281.0,281.0
54.0,104.0,30.0,7.0,48.0,15.0,0.0,0.0,100.0,0.0,22.3,23.2,26.9,28.0,1.0,0.0,5.0,2796.0,2321.0
55.0,465.0,234.0,44.0,104.0,118.0,0.0,431.0,15.0,54.0,8.7,8.1,10.5,9.8,1.0,0.0,13.0,4884.0,4054.0
56.0,2145.0,862.0,63.0,491.0,518.0,300.0,2234.0,0.0,0.0,1.1,1.1,1.1,1.1,4.0,0.0,84.0,2400.0,2400.0
57.0,283.0,20.0,125.0,39.0,91.0,17.0,292.0,0.0,0.0,20.0,19.3,20.0,19.3,1.0,0.0,13.0,5650.0,5650.0
58.0,109.0,0.0,84.0,0.0,17.0,5.0,47.0,59.0,0.0,14.0,14.4,16.9,17.3,1.0,0.0,2.0,1837.0,1525.0
59.0,160.0,0.0,21.0,72.0,25.0,40.0,74.0,68.0,16.0,3.0,3.0,3.6,3.6,1.0,0.0,2.0,575.0,477.0
60.0,65.0,0.0,64.0,0.0,0.0,0.0,54.0,10.0,0.0,7.7,7.9,9.3,9.5,1.0,0.0,2.0,606.0,503.0
61.0,366.0,160.0,27.0,96.0,72.0,0.0,260.0,84.0,11.0,23.1,23.9,27.9,28.7,1.0,0.0,10.0,10205.0,8470.0
62.0,63.0,18.0,10.0,3.0,28.0,0.0,16.0,43.0,0.0,12.3,13.2,14.9,15.9,1.0,0.0,3.0,937.0,778.0
63.0,309.0,126.0,13.0,59.0,153.0,30.0,381.0,0.0,0.0,8.4,6.8,8.4,6.8,4.0,0.0,8.0,2597.0,2407.0
64.0,610.0,137.0,174.0,117.0,147.0,0.0,575.0,0.0,0.0,1.6,1.7,1.6,1.7,1.0,0.0,3.0,950.0,950.0
65.0,562.0,165.0,125.0,93.0,119.0,0.0,502.0,0.0,0.0,10.2,11.4,10.2,11.4,3.0,0.0,13.0,5727.0,5727.0
66.0,156.0,21.0,38.0,39.0,7.0,41.0,146.0,0.0,0.0,13.1,14.0,15.8,16.8,1.0,0.0,4.0,2458.0,2040.0
67.0,75.0,30.0,5.0,19.0,21.0,0.0,40.0,35.0,0.0,48.876866005037826,49.0,59.1,59.1,1.0,0.0,8.0,4430.0,3677.0
68.0,136.0,42.0,64.0,0.0,21.0,0.0,0.0,127.0,0.0,4.2,4.5,5.1,5.4,1.0,0.0,2.0,687.0,570.0
69.0,96.0,13.0,56.0,0.0,10.0,40.0,119.0,0.0,0.0,12.7,10.3,47.2,38.1,2.0,0.0,8.0,4530.0,1223.0
70.0,78.0,24.0,24.0,9.0,21.0,0.0,78.0,0.0,0.0,12.5,12.5,13.9,13.9,1.0,0.0,4.0,1084.0,976.0
71.0,51.0,42.0,0.0,14.0,0.0,0.0,20.0,36.0,0.0,7.6,6.9,9.1,8.3,1.0,0.0,12.0,466.0,387.0
72.0,1092.0,356.0,84.0,170.0,669.0,21.0,1300.0,0.0,0.0,4.0,3.4,4.9,4.1,1.0,0.0,13.0,5320.0,4416.0
73.0,134.0,42.0,11.0,32.0,35.0,14.0,134.0,0.0,0.0,2.1,2.1,2.6,2.6,1.0,0.0,8.0,345.0,286.0
74.0,75.0,24.0,9.0,0.0,36.0,0.0,0.0,69.0,0.0,4.1,4.4,4.9,5.3,1.0,0.0,5.0,367.0,305.0
75.0,88.0,18.0,20.0,0.0,43.0,0.0,36.0,45.0,0.0,1.5,1.6,1.8,1.9,1.0,0.0,7.0,155.0,129.0
76.0,3088.0,1061.0,1009.0,772.0,241.0,5.0,544.0,2544.0,0.0,1.4,1.4,1.4,1.4,1.0,0.0,8.0,4266.0,4266.0
77.0,82.0,25.0,46.0,0.0,14.0,15.0,100.0,0.0,0.0,5.4,4.4,5.4,4.4,1.0,0.0,3.0,440.0,440.0
78.0,110.0,30.0,66.0,0.0,7.0,0.0,18.0,85.0,0.0,12.4,13.2,12.23725322579662,13.2,1.0,0.0,2.0,1362.0,1362.0
79.0,308.0,153.0,83.0,0.0,112.0,10.0,236.0,122.0,0.0,8.2,7.1,8.2,7.1,2.0,0.0,6.0,2533.0,2533.0
80.0,143.0,75.0,32.0,3.0,62.0,0.0,172.0,0.0,0.0,1.6,1.3,1.6,1.3,1.0,0.0,10.0,225.0,225.0
81.0,826.0,292.0,326.0,155.0,32.0,0.0,396.0,139.0,270.0,13.4,13.7,13.4,13.7,1.0,0.0,13.0,11045.0,11045.0
82.0,3460.0,484.0,1831.0,318.0,208.0,142.0,2756.0,227.0,0.0,9.5,11.0,9.5,11.0,4.0,0.0,24.0,32760.0,32760.0
83.0,73.0,15.0,32.0,0.0,28.0,5.0,80.0,0.0,0.0,28.1,25.7,33.9,30.9,1.0,0.0,8.0,2475.0,2054.0
84.0,64.0,4.0,56.0,0.0,7.0,0.0,11.0,56.0,0.0,3.9,3.8,3.9,3.8,1.0,0.0,7.0,252.0,252.0
85.0,497.0,122.0,28.0,113.0,273.0,10.0,454.0,92.0,0.0,4.8,4.3,4.8,4.3,2.0,0.0,8.0,2362.0,2362.0
86.0,288.0,201.0,0.0,36.0,76.0,0.0,99.0,214.0,0.0,8.5,7.9,10.3,9.5,1.0,0.0,5.0,2963.0,2459.0
87.0,494.0,134.0,62.0,140.0,91.0,67.0,494.0,0.0,0.0,17.6,17.6,17.6,17.6,1.0,0.0,21.0,8706.0,8706.0
88.0,130.0,60.0,65.0,0.0,0.0,0.0,14.0,111.0,0.0,5.9,6.2,5.9,6.2,1.0,0.0,6.0,770.0,770.0
89.0,204.0,47.0,43.0,6.0,29.0,104.0,229.0,0.0,0.0,39.8,35.4,39.8,35.4,1.0,0.0,36.0,8111.0,8111.0
90.0,17.0,12.0,5.0,0.0,0.0,0.0,17.0,0.0,0.0,44.8,44.8,44.8,44.8,1.0,0.0,11.0,762.0,762.0
91.0,60.0,10.0,25.0,0.0,31.0,5.0,71.0,0.0,0.0,2.3,1.9,2.7,2.3,1.0,0.0,1.0,164.0,136.0
92.0,73.0,0.0,20.0,36.0,10.0,0.0,56.0,10.0,0.0,4.9,5.4,5.9,6.5,1.0,0.0,1.0,431.0,358.0
93.0,169.0,32.0,14.0,25.0,28.0,70.0,169.0,0.0,0.0,2.8,2.8,3.4,3.4,1.0,0.0,6.0,580.0,481.0
94.0,1351.0,379.0,449.0,271.0,219.0,20.0,1173.0,29.0,136.0,2.4,2.4,2.8,2.9,1.0,0.0,8.0,3842.0,3189.0
95.0,2087.0,862.0,444.0,303.0,437.0,0.0,2046.0,0.0,0.0,10.8,11.0,10.8,11.0,4.0,0.0,9.0,22500.0,22500.0
96.0,253.0,72.0,0.0,107.0,29.0,44.0,252.0,0.0,0.0,46.3,46.3,49.8,49.8,1.0,0.0,13.0,12601.0,11719.0
97.0,102.0,37.0,26.0,10.0,29.0,0.0,102.0,0.0,0.0,1.8,1.8,2.4,2.4,1.0,0.0,5.0,244.0,183.0
98.0,115.0,49.0,39.0,0.0,15.0,0.0,53.0,50.0,0.0,12.9,14.548413928785452,15.5,17.3,1.0,0.0,5.0,1786.0,1482.0
99.0,288.0,18.0,186.0,21.0,15.0,60.0,300.0,0.0,0.0,4.3,4.2,4.3,4.2,2.0,0.0,11.0,1251.0,1251.0
100.0,199.0,104.0,7.0,77.0,0.0,0.0,0.0,188.0,0.0,4.7,5.0,5.7,6.0,1.0,0.0,8.0,1136.0,943.0
101.0,163.0,49.0,14.0,33.0,49.0,10.0,155.0,0.0,0.0,16.5,17.3,19.8,20.9,1.0,0.0,11.0,3234.0,2684.0
102.0,97.0,21.0,41.0,0.0,49.0,15.0,16.0,100.0,10.0,7.5,5.8,7.5,5.8,2.0,0.0,9.0,729.0,729.0
103.0,439.0,82.0,222.0,19.0,85.0,10.0,105.0,313.0,0.0,8.3,8.7,8.3,8.7,1.0,0.0,7.0,3630.0,3630.0
104.0,3113.0,2019.0,609.0,248.0,157.0,80.0,3113.0,0.0,0.0,10.9,10.9,13.5,13.5,1.0,0.0,24.0,42080.0,34085.0
105.0,153.0,35.0,7.0,57.0,24.0,20.0,143.0,0.0,0.0,18.7,20.0,21.5,23.0,2.0,0.0,3.0,3283.0,2856.0
106.0,670.0,346.0,97.0,122.0,79.0,0.0,146.0,498.0,0.0,8.6,8.9,10.4,10.8,1.0,0.0,6.0,6936.0,5757.0
107.0,129.0,19.0,93.0,3.0,10.0,30.0,0.0,155.0,-0.0,4.9,4.1,4.9,4.1,2.0,0.0,15.0,631.0,631.0
108.0,329.0,324.0,68.0,14.0,0.0,0.0,206.0,73.0,127.0,6.6,5.4,6.6,5.4,2.0,0.0,8.0,2184.0,2184.0
109.0,5684.0,2221.0,454.0,820.0,1137.0,311.0,4943.0,0.0,0.0,3.7,4.3,3.7,4.3,1.0,0.0,37.0,21014.0,21014.0
110.0,61.0,27.0,4.0,24.0,17.0,0.0,72.0,0.0,0.0,6.8,5.8,8.2,7.0,1.0,0.0,4.0,502.0,417.0
111.0,267.0,27.0,133.0,51.0,34.0,89.0,70.0,178.0,86.0,10.0,8.0,10.0,8.0,2.0,0.0,9.0,2683.0,2683.0
112.0,218.0,78.0,16.0,56.0,77.0,0.0,227.0,0.0,0.0,25.4,24.4,30.6,29.4,1.0,0.0,4.0,6665.0,5532.0
113.0,919.0,458.0,236.0,56.0,58.0,76.0,884.0,0.0,0.0,5.2,5.4,6.3,6.6,1.0,0.0,6.0,5801.0,4815.0
114.0,66.0,27.0,12.0,6.0,14.0,0.0,28.0,31.0,0.0,3.7,4.2,4.5,5.0,1.0,0.0,2.0,296.0,246.0
115.0,54.0,36.0,0.0,16.0,0.0,0.0,0.0,52.0,0.0,12.7,13.2,15.3,15.9,1.0,0.0,1.0,827.0,686.0
116.0,245.0,88.0,105.0,27.0,79.0,-0.0,299.0,0.0,0.0,1.9,1.6,3.6,2.9,1.0,0.0,13.0,870.0,470.0
117.0,54.0,24.0,28.0,0.0,0.0,0.0,0.0,52.0,0.0,7.3,7.6,8.8,9.2,1.0,0.0,2.0,476.0,395.0
118.0,151.0,40.0,54.0,15.0,21.0,0.0,111.0,19.0,0.0,7.2,8.3,8.2,9.5,2.0,0.0,3.0,1241.0,1080.0
119.0,103.0,45.0,4.0,27.0,29.0,0.0,105.0,0.0,0.0,13.6,13.3,13.6,13.3,2.0,0.0,7.0,1396.0,1396.0
120.0,300.0,95.0,82.0,27.0,76.0,0.0,138.0,142.0,0.0,9.8,10.5,9.8,10.5,1.0,0.0,10.0,2933.0,2933.0
121.0,249.0,126.0,4.0,98.0,21.0,0.0,58.0,191.0,0.0,18.3,18.3,18.3,18.3,1.0,0.0,9.0,4551.0,4551.0
122.0,224.0,156.0,21.0,0.0,29.0,10.0,6.0,210.0,0.0,13.4,13.9,16.1,16.7,1.0,0.0,4.0,3613.0,2999.0
123.0,1984.0,255.0,1008.0,192.0,158.0,0.0,1613.0,0.0,0.0,1.3,1.6,1.3,1.6,2.0,0.0,11.0,2540.0,2540.0
124.0,58.0,15.0,37.0,0.0,0.0,5.0,0.0,57.0,0.0,0.4,0.5,0.5,0.5,1.0,0.0,2.0,31.0,26.0
125.0,56.0,50.0,0.0,3.0,0.0,0.0,0.0,53.0,0.0,8.0,8.5,9.6,10.2,1.0,0.0,2.0,540.0,448.0
126.0,244.0,91.0,12.0,44.0,60.0,50.0,257.0,0.0,0.0,3.7454575970131065,3.5,4.5,4.2,1.0,0.0,3.0,1092.0,906.0
127.0,12.0,0.0,0.0,6.0,7.0,0.0,10.0,3.0,0.0,17.6,16.2,17.6,16.2,2.0,0.0,13.0,211.0,211.0
128.0,1416.0,402.0,432.0,0.0,252.0,65.0,376.0,775.0,0.0,1.2,1.5,1.2,1.5,2.0,0.0,12.0,1724.0,1724.0
129.0,67.0,3.0,26.0,0.0,7.0,35.0,71.0,0.0,0.0,23.6,22.3,27.2,25.6,2.0,0.0,5.0,1821.0,1584.0
130.0,95.0,36.0,0.0,32.0,24.0,0.0,0.0,92.0,0.0,1.6,1.6,1.9,1.9,1.0,0.0,7.0,178.0,148.0
131.0,2376.0,638.0,233.0,639.0,580.0,131.0,2221.0,0.0,0.0,10.7,11.5,12.9,13.8,1.0,0.0,24.0,30701.0,25482.0
132.0,442.0,225.0,102.0,57.0,91.0,0.0,82.0,393.0,0.0,1.5,1.4,1.5,1.4,1.0,0.0,5.0,683.0,683.0
133.0,68.0,21.0,12.0,19.0,15.0,0.0,11.0,56.0,0.0,37.1,37.6,44.7,45.3,1.0,0.0,4.0,3037.0,2582.0
134.0,268.0,76.0,96.0,45.0,41.0,10.0,248.0,20.0,0.0,10.916498209204988,10.9,10.9,10.9,2.0,0.0,9.0,2933.0,2933.0
135.0,90.0,96.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,5.5,5.1,6.6,6.2,1.0,0.0,2.0,595.0,494.0
136.0,72.0,23.0,25.0,7.0,17.0,0.0,55.0,17.0,0.0,6.8,6.8,6.8,6.8,1.0,0.0,7.0,486.0,486.0
137.0,505.0,111.0,127.0,18.0,216.0,0.0,472.0,0.0,0.0,9.8,10.5,9.8,10.5,1.0,0.0,30.0,4955.0,4955.0
138.0,450.0,112.0,145.0,59.0,105.0,0.0,356.0,58.0,7.0,13.6,14.6,13.6,14.6,1.0,0.0,7.0,6138.0,6138.0
139.0,230.0,129.0,38.0,46.0,57.0,0.0,230.0,40.0,0.0,6.3,5.4,7.6,6.5,1.0,0.0,10.0,1748.0,1451.0
140.0,242.0,97.0,78.0,4.0,43.0,0.0,0.0,222.0,0.0,1.3,1.4,1.5,1.7,1.0,0.0,2.0,375.0,311.0
141.0,106.0,21.0,76.0,6.0,0.0,0.0,7.0,96.0,0.0,23.1,23.7,27.8,28.6,1.0,0.0,2.0,2946.0,2445.0
142.0,31.0,10.0,14.0,0.0,7.0,0.0,4.0,27.0,0.0,7.6,7.6,7.6,7.6,1.0,0.0,6.0,237.0,237.0
143.0,1186.0,422.0,306.0,109.0,168.0,230.0,1235.0,0.0,0.0,3.1,3.0,3.1,3.0,3.0,0.0,9.0,3711.0,3711.0
144.0,256.0,69.0,198.0,0.0,0.0,5.0,272.0,0.0,0.0,11.5,10.8,11.5,10.8,2.0,0.0,19.0,2941.0,2941.0
145.0,191.0,44.0,60.0,15.0,49.0,25.0,159.0,34.0,0.0,12.7,12.6,12.7,12.6,2.0,0.0,11.0,2430.0,2430.0
146.0,213.0,102.0,63.0,6.0,28.0,0.0,186.0,13.0,0.0,11.9,12.7,14.443806820684324,15.3,1.0,0.0,10.0,3051.0,2532.0
147.0,4562.0,1098.0,1278.0,498.0,1059.0,0.0,3933.0,0.0,0.0,5.8,6.7,5.8,6.7,1.0,0.0,15.0,26408.0,26408.0
148.0,141.0,44.0,33.0,44.0,17.0,0.0,5.0,133.0,0.0,8.8,9.0,10.6,10.9,1.0,0.0,2.0,1499.0,1244.0
149.0,187.0,23.0,65.0,17.0,91.0,5.0,201.0,0.0,0.0,3.0,2.8,3.6,3.4,1.0,0.0,6.0,677.0,562.0
150.0,128.0,45.0,0.0,68.0,0.0,15.0,128.0,0.0,0.0,25.8,25.8,56.1,56.1,1.0,0.0,10.0,7180.0,3303.0
151.0,194.0,70.0,16.0,0.0,45.0,47.0,46.0,132.0,0.0,2.6,2.8,3.6,3.9,1.0,0.0,6.0,703.0,499.0
152.0,869.0,288.0,300.0,116.0,230.0,0.0,934.0,0.0,0.0,2.4,2.2,2.4,2.2,3.0,0.0,6.0,2078.0,2078.0
153.0,125.0,51.0,9.0,33.0,22.0,0.0,20.0,84.0,11.0,18.6,20.2,22.4,24.4,1.0,0.0,3.0,2802.0,2326.0
154.0,477.0,235.0,117.0,89.0,46.0,10.0,172.0,218.0,107.0,5.7,5.5,5.7,5.5,1.0,0.0,6.0,2741.0,2741.0
155.0,717.0,599.0,130.0,10.0,24.0,0.0,51.0,712.0,0.0,4.9,4.6,6.0,5.6,1.0,0.0,5.0,4272.0,3546.0
156.0,25.0,0.0,28.0,0.0,0.0,0.0,0.0,28.0,0.0,5.6,5.0,5.6,5.0,1.0,0.0,3.0,140.0,140.0
157.0,73.0,9.0,61.0,3.0,0.0,0.0,73.0,0.0,0.0,19.2,19.2,19.2,19.2,1.0,0.0,8.0,1404.0,1404.0
158.0,100.0,61.0,0.0,0.0,0.0,42.0,28.0,75.0,0.0,9.3,9.0,11.2,10.9,1.0,0.0,12.0,1119.0,929.0
159.0,273.0,103.0,183.0,15.0,17.0,0.0,318.0,0.0,0.0,1.9,1.7,1.9,1.7,3.0,0.0,5.0,528.0,528.0
160.0,587.0,108.0,119.0,94.0,203.0,0.0,524.0,0.0,0.0,6.4,7.2,6.4,7.2,3.0,0.0,15.0,3748.0,3748.0
161.0,1437.0,920.0,154.0,41.0,203.0,0.0,1318.0,0.0,0.0,3.4,3.7,3.4,3.7,4.0,0.0,18.0,4900.0,4900.0
162.0,97.0,3.0,101.0,3.0,0.0,7.0,108.0,6.0,0.0,19.1,16.3,19.1,16.3,2.0,0.0,12.0,1853.0,1853.0
163.0,224.0,110.0,25.0,6.0,49.0,5.0,195.0,0.0,0.0,12.9,14.8,14.8,17.0,2.0,0.0,13.0,3322.0,2890.0
164.0,321.0,168.0,46.0,9.0,77.0,15.0,315.0,0.0,0.0,3.4,3.4,3.4,3.4,4.0,0.0,11.0,1076.0,1076.0
165.0,99.0,6.0,4.0,19.0,59.0,10.0,98.0,0.0,0.0,24.1,24.4,29.1,29.3,1.0,0.0,4.0,2876.0,2387.0
166.0,416.0,179.0,40.0,54.0,109.0,7.0,318.0,65.0,6.0,3.8,4.1,4.6,4.9,1.0,0.0,6.0,1911.0,1586.0
