idX,centerX,YearX,prec,flex,resl,team,pmat,rely,data,cplx,ruse,docu,time,stor,pvol,acap,pcap,pcon,apex,plex,ltex,tool,site,sced,Kloc+,Effort-,Defects-,Months-
1.0,2.0,1979.0,h,h,h,vh,h,h,l,h,n,n,n,n,l,n,n,n,n,n,h,n,n,l,25.9,117.6,808.0,15.3
2.0,2.0,1979.0,h,h,h,vh,h,h,l,h,n,n,n,n,l,n,n,n,n,n,h,n,n,l,24.6,117.6,767.0,15.0
3.0,2.0,1979.0,h,h,h,vh,h,h,l,h,n,n,n,n,l,n,n,n,n,n,h,n,n,l,7.7,31.2,240.0,10.1
4.0,2.0,1979.0,h,h,h,vh,h,h,l,h,n,n,n,n,l,n,n,n,n,n,h,n,n,l,8.2,36.0,256.0,10.4
5.0,2.0,1979.0,h,h,h,vh,h,h,l,h,n,n,n,n,l,n,n,n,n,n,h,n,n,l,9.7,25.2,302.0,11.0
6.0,2.0,1979.0,h,h,h,vh,h,h,l,h,n,n,n,n,l,n,n,n,n,n,h,n,n,l,2.2,8.4,69.0,6.6
7.0,2.0,1979.0,h,h,h,vh,h,h,l,h,n,n,n,n,l,n,n,n,n,n,h,n,n,l,3.5,10.8,109.0,7.8
8.0,2.0,1982.0,h,h,h,vh,h,h,l,h,n,n,n,n,l,n,n,n,n,n,h,n,n,l,66.6,352.8,2077.0,21.0
9.0,1.0,1980.0,h,h,h,vh,h,h,l,h,n,n,xh,xh,l,h,h,n,h,n,h,h,n,n,7.5,72.0,226.0,13.6
10.0,1.0,1980.0,h,h,h,vh,n,n,l,h,n,n,n,n,l,h,vh,n,vh,n,h,n,n,n,20.0,72.0,566.0,14.4
11.0,1.0,1984.0,h,h,h,vh,n,n,l,h,n,n,n,n,l,h,h,n,vh,n,h,n,n,n,6.0,24.0,188.0,9.9
12.0,1.0,1980.0,h,h,h,vh,n,n,l,h,n,n,n,n,l,h,vh,n,vh,n,h,n,n,n,100.0,360.0,2832.0,25.2
13.0,1.0,1985.0,h,h,h,vh,n,n,l,h,n,n,n,n,l,h,n,n,vh,n,l,n,n,n,11.3,36.0,456.0,12.8
14.0,1.0,1980.0,h,h,h,vh,n,n,l,h,n,n,n,n,h,h,h,n,h,l,vl,n,n,n,100.0,215.0,5434.0,30.1
15.0,1.0,1983.0,h,h,h,vh,n,n,l,h,n,n,n,n,l,h,h,n,vh,n,h,n,n,n,20.0,48.0,626.0,15.1
16.0,1.0,1982.0,h,h,h,vh,n,n,l,h,n,n,n,n,l,h,n,n,n,n,vl,n,n,n,100.0,360.0,4342.0,28.0
17.0,1.0,1980.0,h,h,h,vh,n,n,l,h,n,n,n,xh,l,h,vh,n,vh,n,h,n,n,n,150.0,324.0,4868.0,32.5
18.0,1.0,1984.0,h,h,h,vh,n,n,l,h,n,n,n,n,l,h,h,n,h,n,h,n,n,n,31.5,60.0,986.0,17.6
19.0,1.0,1983.0,h,h,h,vh,n,n,l,h,n,n,n,n,l,h,h,n,vh,n,h,n,n,n,15.0,48.0,470.0,13.6
20.0,1.0,1984.0,h,h,h,vh,n,n,l,h,n,n,n,xh,l,h,n,n,h,n,h,n,n,n,32.5,60.0,1276.0,20.8
21.0,2.0,1985.0,h,h,h,vh,h,h,l,h,n,n,n,n,l,n,n,n,n,n,h,n,n,l,19.7,60.0,614.0,13.9
22.0,2.0,1985.0,h,h,h,vh,h,h,l,h,n,n,n,n,l,n,n,n,n,n,h,n,n,l,66.6,300.0,2077.0,21.0
23.0,2.0,1985.0,h,h,h,vh,h,h,l,h,n,n,n,n,l,n,n,n,n,n,h,n,n,l,29.5,120.0,920.0,16.0
24.0,2.0,1986.0,h,h,h,vh,n,h,n,n,n,n,h,n,n,n,h,n,h,n,n,n,n,n,15.0,90.0,575.0,15.2
25.0,2.0,1986.0,h,h,h,vh,n,h,n,h,n,n,n,n,n,n,h,n,h,n,n,n,n,n,38.0,210.0,1553.0,21.3
26.0,2.0,1986.0,h,h,h,vh,n,n,n,n,n,n,n,n,n,n,h,n,h,n,n,n,n,n,10.0,48.0,427.0,12.4
27.0,2.0,1982.0,h,h,h,vh,h,n,vh,h,n,n,vh,vh,l,vh,n,n,h,l,h,n,n,l,15.4,70.0,765.0,14.5
28.0,2.0,1982.0,h,h,h,vh,h,n,vh,h,n,n,vh,vh,l,vh,n,n,h,l,h,n,n,l,48.5,239.0,2409.0,21.4
29.0,2.0,1982.0,h,h,h,vh,h,n,vh,h,n,n,vh,vh,l,vh,n,n,h,l,h,n,n,l,16.3,82.0,810.0,14.8
29.0,2.0,1982.0,h,h,h,vh,h,n,vh,h,n,n,vh,vh,l,vh,n,n,h,l,h,n,n,l,12.8,62.0,636.0,13.6
31.0,2.0,1982.0,h,h,h,vh,h,n,vh,h,n,n,vh,vh,l,vh,n,n,h,l,h,n,n,l,32.6,170.0,1619.0,18.7
32.0,2.0,1982.0,h,h,h,vh,h,n,vh,h,n,n,vh,vh,l,vh,n,n,h,l,h,n,n,l,35.5,192.0,1763.0,19.3
33.0,2.0,1985.0,h,h,h,vh,h,h,l,h,n,n,n,n,l,n,n,n,n,n,h,n,n,l,5.5,18.0,172.0,9.1
34.0,2.0,1987.0,h,h,h,vh,h,h,l,h,n,n,n,n,l,n,n,n,n,n,h,n,n,l,10.4,50.0,324.0,11.2
35.0,2.0,1987.0,h,h,h,vh,h,h,l,h,n,n,n,n,l,n,n,n,n,n,h,n,n,l,14.0,60.0,437.0,12.4
36.0,2.0,1986.0,h,h,h,vh,n,h,n,h,n,n,n,n,n,n,n,n,n,n,n,n,n,n,6.5,42.0,290.0,12.0
37.0,2.0,1986.0,h,h,h,vh,n,n,n,h,n,n,n,n,n,n,n,n,n,n,n,n,n,n,13.0,60.0,683.0,14.8
38.0,2.0,1986.0,h,h,h,vh,h,n,n,h,n,n,n,n,n,n,h,n,n,n,h,h,n,n,90.0,444.0,3343.0,26.7
39.0,2.0,1986.0,h,h,h,vh,n,n,n,h,n,n,n,n,l,n,n,n,n,n,n,n,n,n,8.0,42.0,420.0,12.5
40.0,2.0,1986.0,h,h,h,vh,n,n,n,h,n,n,h,n,n,n,n,n,n,n,n,n,n,n,16.0,114.0,887.0,16.4
41.0,2.0,1980.0,h,h,h,vh,h,n,h,h,n,n,vh,h,l,h,h,n,n,l,h,n,n,l,177.9,1248.0,7998.0,31.5
42.0,6.0,1975.0,h,h,h,vh,h,h,l,h,n,n,n,n,l,n,h,n,n,n,n,n,n,n,302.0,2400.0,8543.0,38.4
43.0,5.0,1982.0,h,h,h,vh,h,n,h,l,n,n,n,n,h,h,n,n,h,n,n,n,n,n,282.1,1368.0,9820.0,37.3
51.0,5.0,1982.0,h,h,h,vh,h,h,h,l,n,n,n,n,n,h,n,n,h,n,n,n,n,n,284.7,973.0,8518.0,38.1
45.0,5.0,1982.0,h,h,h,vh,n,h,h,n,n,n,n,n,l,n,h,n,h,n,h,n,n,n,79.0,400.0,2327.0,26.9
46.0,5.0,1977.0,h,h,h,vh,l,l,n,n,n,n,n,n,l,h,vh,n,h,n,h,n,n,n,423.0,2400.0,18447.0,41.9
47.0,5.0,1977.0,h,h,h,vh,h,n,n,n,n,n,n,n,l,h,vh,n,vh,l,h,n,n,n,190.0,420.0,5092.0,30.3
48.0,5.0,1984.0,h,h,h,vh,h,n,n,h,n,n,n,h,n,h,n,n,h,n,h,n,n,n,47.5,252.0,2007.0,22.3
49.0,5.0,1980.0,h,h,h,vh,l,vh,n,xh,n,n,h,h,l,n,n,n,h,n,n,h,n,n,21.0,107.0,1058.0,21.3
50.0,5.0,1983.0,h,h,h,vh,l,n,h,h,n,n,vh,n,n,h,h,n,h,n,h,n,n,n,78.0,571.4,4815.0,30.5
51.0,5.0,1984.0,h,h,h,vh,l,n,h,h,n,n,vh,n,n,h,h,n,h,n,h,n,n,n,11.4,98.8,704.0,15.5
52.0,5.0,1985.0,h,h,h,vh,l,n,h,h,n,n,vh,n,n,h,h,n,h,n,h,n,n,n,19.3,155.0,1191.0,18.6
53.0,5.0,1979.0,h,h,h,vh,l,h,n,vh,n,n,h,h,l,h,n,n,n,h,h,n,n,n,101.0,750.0,4840.0,32.4
54.0,5.0,1979.0,h,h,h,vh,l,h,n,h,n,n,h,h,l,n,n,n,h,n,n,n,n,n,219.0,2120.0,11761.0,42.8
55.0,5.0,1979.0,h,h,h,vh,l,h,n,h,n,n,h,h,l,n,n,n,h,n,n,n,n,n,50.0,370.0,2685.0,25.4
56.0,2.0,1979.0,h,h,h,vh,h,vh,h,h,n,n,vh,vh,n,vh,vh,n,vh,n,h,h,n,l,227.0,1181.0,6293.0,33.8
57.0,2.0,1977.0,h,h,h,vh,h,n,h,vh,n,n,n,n,l,h,vh,n,n,l,h,n,n,l,70.0,278.0,2950.0,20.2
58.0,2.0,1979.0,h,h,h,vh,h,h,l,h,n,n,n,n,l,n,n,n,n,n,h,n,n,l,0.9,8.4,28.0,4.9
59.0,6.0,1974.0,h,h,h,vh,l,vh,l,xh,n,n,xh,vh,l,h,h,n,vh,vl,h,n,n,n,980.0,4560.0,50961.0,96.4
60.0,6.0,1975.0,h,h,h,vh,n,n,l,h,n,n,n,n,l,vh,vh,n,n,h,h,n,n,n,350.0,720.0,8547.0,35.7
61.0,5.0,1976.0,h,h,h,vh,h,h,n,xh,n,n,h,h,l,h,n,n,n,h,h,h,n,n,70.0,458.0,2404.0,27.5
62.0,5.0,1979.0,h,h,h,vh,h,h,n,xh,n,n,h,h,l,h,n,n,n,h,h,h,n,n,271.0,2460.0,9308.0,43.4
63.0,5.0,1971.0,h,h,h,vh,n,n,n,n,n,n,n,n,l,h,h,n,h,n,h,n,n,n,90.0,162.0,2743.0,25.0
64.0,5.0,1980.0,h,h,h,vh,n,n,n,n,n,n,n,n,l,h,h,n,h,n,h,n,n,n,40.0,150.0,1219.0,18.9
65.0,5.0,1979.0,h,h,h,vh,n,h,n,h,n,n,h,n,l,h,h,n,h,n,h,n,n,n,137.0,636.0,4210.0,32.2
66.0,5.0,1977.0,h,h,h,vh,n,h,n,h,n,n,h,n,h,h,h,n,h,n,h,n,n,n,150.0,882.0,5848.0,36.2
67.0,5.0,1976.0,h,h,h,vh,n,vh,n,h,n,n,h,n,l,h,h,n,h,n,h,n,n,n,339.0,444.0,8477.0,45.9
68.0,5.0,1983.0,h,h,h,vh,n,l,h,l,n,n,n,n,h,h,h,n,h,n,h,n,n,n,240.0,192.0,10313.0,37.1
69.0,5.0,1978.0,h,h,h,vh,l,h,n,h,n,n,n,vh,l,h,h,n,h,h,h,n,n,l,144.0,576.0,6129.0,28.8
70.0,5.0,1979.0,h,h,h,vh,l,n,l,n,n,n,n,vh,l,h,h,n,h,h,h,n,n,l,151.0,432.0,6136.0,26.2
71.0,5.0,1979.0,h,h,h,vh,l,n,l,h,n,n,n,vh,l,h,h,n,h,h,h,n,n,l,34.0,72.0,1555.0,16.2
72.0,5.0,1979.0,h,h,h,vh,l,n,n,h,n,n,n,vh,l,h,h,n,h,h,h,n,n,l,98.0,300.0,4907.0,24.4
73.0,5.0,1979.0,h,h,h,vh,l,n,n,h,n,n,n,vh,l,h,h,n,h,h,h,n,n,l,85.0,300.0,4256.0,23.2
74.0,5.0,1982.0,h,h,h,vh,l,n,l,n,n,n,n,vh,l,h,h,n,h,h,h,n,n,l,20.0,240.0,813.0,12.8
75.0,5.0,1978.0,h,h,h,vh,l,n,l,n,n,n,n,vh,l,h,h,n,h,h,h,n,n,l,111.0,600.0,4511.0,23.5
76.0,5.0,1978.0,h,h,h,vh,l,h,vh,h,n,n,n,vh,l,h,h,n,h,h,h,n,n,l,162.0,756.0,7553.0,32.4
77.0,5.0,1978.0,h,h,h,vh,l,h,h,vh,n,n,n,vh,l,h,h,n,h,h,h,n,n,l,352.0,1200.0,17597.0,42.9
78.0,5.0,1979.0,h,h,h,vh,l,h,n,vh,n,n,n,vh,l,h,h,n,h,h,h,n,n,l,165.0,97.0,7867.0,31.5
79.0,5.0,1984.0,h,h,h,vh,h,h,n,vh,n,n,h,h,l,h,n,n,n,h,h,n,n,n,60.0,409.0,2004.0,24.9
80.0,5.0,1984.0,h,h,h,vh,h,h,n,vh,n,n,h,h,l,h,n,n,n,h,h,n,n,n,100.0,703.0,3340.0,29.6
81.0,2.0,1980.0,h,h,h,vh,n,h,vh,vh,n,n,xh,xh,h,n,n,n,n,l,l,n,n,n,32.0,1350.0,2984.0,33.6
82.0,2.0,1980.0,h,h,h,vh,h,h,h,h,n,n,vh,xh,h,h,h,n,h,h,h,n,n,n,53.0,480.0,2227.0,28.8
83.0,3.0,1977.0,h,h,h,vh,h,h,l,vh,n,n,vh,xh,l,vh,vh,n,vh,vl,vl,h,n,n,41.0,599.0,1594.0,23.0
84.0,3.0,1977.0,h,h,h,vh,h,h,l,vh,n,n,vh,xh,l,vh,vh,n,vh,vl,vl,h,n,n,24.0,430.0,933.0,19.2
85.0,5.0,1977.0,h,h,h,vh,h,vh,h,vh,n,n,xh,xh,n,h,h,n,h,h,h,n,n,n,165.0,4178.2,6266.0,47.3
86.0,5.0,1977.0,h,h,h,vh,h,vh,h,vh,n,n,xh,xh,n,h,h,n,h,h,h,n,n,n,65.0,1772.5,2468.0,34.5
87.0,5.0,1977.0,h,h,h,vh,h,vh,h,vh,n,n,xh,xh,n,h,h,n,h,h,h,n,n,n,70.0,1645.9,2658.0,35.4
88.0,5.0,1977.0,h,h,h,vh,h,vh,h,xh,n,n,xh,xh,n,h,h,n,h,h,h,n,n,n,50.0,1924.5,2102.0,34.2
89.0,5.0,1982.0,h,h,h,vh,l,vh,l,vh,n,n,vh,xh,l,h,n,n,l,vl,l,h,n,n,7.25,648.0,406.0,15.6
90.0,5.0,1980.0,h,h,h,vh,h,vh,h,vh,n,n,xh,xh,n,h,h,n,h,h,h,n,n,n,233.0,8211.0,8848.0,53.1
91.0,2.0,1983.0,h,h,h,vh,n,h,n,vh,n,n,vh,vh,h,n,n,n,n,l,l,n,n,n,16.3,480.0,1253.0,21.5
92.0,2.0,1983.0,h,h,h,vh,n,h,n,vh,n,n,vh,vh,h,n,n,n,n,l,l,n,n,n,6.2,12.0,477.0,15.4
93.0,2.0,1983.0,h,h,h,vh,l,h,n,vh,n,n,vh,vh,h,n,n,n,n,l,l,n,n,n,3.0,38.0,231.0,12.0
